
#S 1
#N 10
#L photon energy [eV]  alpha [deg]  beta [deg]  size source V [um]  size [um]  source*M  footprint on grating [m]  C  resolving power 0.1  resolving power 0.5
250.000000   88.128210   86.945059   62.671855   11.304340   11.542651   0.058525   1.631613   6111.113382   11159.424437
368.421053   88.458503   87.483805   55.216354   9.559484   10.167251   0.058792   1.631978   5694.624198   10871.555288
486.842105   88.659202   87.811263   50.965779   8.868037   9.383494   0.059053   1.632166   5340.945895   10196.351254
605.263158   88.797597   88.037101   48.195279   8.393419   8.872786   0.059312   1.632280   5061.687683   9663.221940
723.684211   88.900427   88.204921   46.238182   8.057238   8.512083   0.059568   1.632357   4823.109195   9207.753919
842.105263   88.980708   88.335950   44.778715   7.806230   8.243128   0.059823   1.632412   4615.730170   8811.848506
960.526316   89.045635   88.441924   43.646894   7.611336   8.034571   0.060076   1.632454   4433.369294   8463.705016
1078.947368   89.099551   88.529930   42.742701   7.455506   7.867970   0.060329   1.632486   4271.333389   8154.363743
1197.368421   89.145254   88.604531   42.003293   7.328007   7.731738   0.060581   1.632512   4126.069378   7877.041541
1315.789474   89.184637   88.668817   41.387122   7.221719   7.618217   0.060831   1.632533   3994.869742   7626.569508
1434.210526   89.219033   88.724966   40.865588   7.131735   7.522135   0.061081   1.632551   3875.603066   7398.878581
1552.631579   89.249415   88.774561   40.418343   7.054560   7.439742   0.061330   1.632566   3766.561268   7190.707876
1671.052632   89.276505   88.818785   40.030503   6.987634   7.368294   0.061578   1.632579   3666.369923   6999.433490
1789.473684   89.300860   88.858543   39.690923   6.929040   7.305738   0.061824   1.632591   3573.891377   6822.883537
1907.894737   89.322910   88.894539   39.391094   6.877311   7.250506   0.062071   1.632600   3488.190877   6659.273493
2026.315789   89.342997   88.927331   39.124399   6.831308   7.201379   0.062316   1.632609   3408.483054   6507.104012
2144.736842   89.361396   88.957368   38.885618   6.790129   7.157394   0.062560   1.632617   3334.104589   6365.108761
2263.157895   89.378331   88.985015   38.670574   6.753055   7.117782   0.062803   1.632624   3264.490759   6232.209630
2381.578947   89.393986   89.010573   38.475888   6.719501   7.081921   0.063046   1.632630   3199.157358   6107.482228
2500.000000   89.408516   89.034293   38.298792   6.688991   7.049300   0.063288   1.632636   3137.686520   5990.128811
