; radius uncorrected250 corrected250 uncorrected1250 corrected1250 
10  0.000387483  3.65461  0.000393289 13.6452 
11.2332  0.000433946  5.0675  0.00044075 14.6825 
12.6186  0.000487933  5.14714  0.000484656 14.4493 
14.1747  0.000548548  4.81494  0.000545677 14.8139 
15.9228  0.000617573  5.59833  0.000607762 14.3703 
17.8865  0.000692574  4.63476  0.000696426 14.7334 
20.0923  0.000777538  6.10512  0.000770461 14.3835 
22.5702  0.000873516  3.60878  0.000869095 13.9757 
25.3536  0.000980326  4.13203  0.000986855 14.4361 
28.4804  0.00110289  4.85215  0.00111165 14.6761 
31.9927  0.00123768  5.17807  0.00124426 14.5428 
35.9381  0.00139085  5.97917  0.0014001 14.2834 
40.3702  0.00156184  5.70938  0.0015701 13.7723 
45.3488  0.00175746  6.11193  0.00176087 13.1974 
50.9414  0.0019743  6.7831  0.00197857 12.345 
57.2237  0.0022146  6.64225  0.00221504 11.4468 
64.2807  0.0024892  6.57629  0.00249229 10.4882 
72.2081  0.0027956  6.61623  0.00279879 9.53897 
81.1131  0.00314071  6.55433  0.00313912 8.6397 
91.1163  0.00352983  6.25502  0.00352807 7.81373 
102.353  0.00396485  6.12212  0.00396338 7.06867 
114.976  0.00445465  5.8423  0.00445319 6.40244 
129.155  0.00500373  5.50885  0.0050025 5.80864 
145.083  0.005622  5.12654  0.00561997 5.27991 
162.975  0.00631566  4.74755  0.00631366 4.80922 
183.074  0.00709549  4.37668  0.00709301 4.3902 
205.651  0.00797215  4.02334  0.00796869 4.01718 
231.013  0.00895538  3.69909  0.0089526 3.68512 
259.502  0.0100613  3.40572  0.0100581 3.38952 
291.505  0.0113042  3.14231  0.0113004 3.12637 
327.455  0.0127005  2.90714  0.0126962 2.8921 
367.838  0.0142697  2.69758  0.0142649 2.68357 
413.201  0.016033  2.51097  0.0160276 2.49792 
464.159  0.0180147  2.34484  0.0180086 2.33265 
521.401  0.0202418  2.19695  0.020235 2.18556 
585.702  0.0227449  2.0653  0.0227371 2.05459 
657.933  0.0255583  1.9481  0.0255496 1.938 
739.072  0.0287206  1.84377  0.0287108 1.83423 
830.218  0.0322752  1.75089  0.0322643 1.74183 
932.603  0.036271  1.66821  0.0362587 1.65958 
1047.62  0.0407628  1.59462  0.0407491 1.58642 
1176.81  0.0458125  1.52909  0.0457966 1.52124 
1321.94  0.0514893  1.47077  0.051472 1.46321 
1484.97  0.0578711  1.41884  0.0578512 1.41157 
1668.1  0.0650451  1.37262  0.0650229 1.36559 
1873.82  0.0731092  1.33147  0.0730845 1.32465 
2104.9  0.0821726  1.29485  0.0821443 1.28833 
2364.49  0.0923575  1.26224  0.0923253 1.25589 
2656.09  0.103799  1.23322  0.103764 1.22701 
2983.65  0.116647  1.20738  0.116607 1.20133 
3351.6  0.131065  1.18438  0.131021 1.17844 
3764.94  0.147234  1.1639  0.147185 1.15805 
4229.24  0.165347  1.14569  0.165291 1.14016 
4750.81  0.185609  1.12946  0.185547 1.124 
5336.7  0.208233  1.11501  0.20816 1.10963 
5994.84  0.233431  1.10216  0.233353 1.09689 
6734.15  0.261404  1.09071  0.261317 1.08548 
7564.63  0.292348  1.08051  0.292246 1.07533 
8497.53  0.326387  1.07149  0.326271 1.06677 
9545.48  0.36359  1.06341  0.36347 1.05873 
10722.7  0.403933  1.05622  0.403777 1.05156 
12045  0.447236  1.04982  0.447085 1.04529 
13530.5  0.493144  1.04412  0.492974 1.03958 
15199.1  0.541143  1.03905  0.540974 1.03452 
17073.5  0.590449  1.03462  0.590216 1.03095 
19179.1  0.640148  1.03061  0.639933 1.0269 
21544.3  0.689148  1.02702  0.688882 1.02335 
24201.3  0.736326  1.02386  0.736066 1.02036 
27185.9  0.780595  1.02102  0.780331 1.01748 
30538.6  0.82105  1.01847  0.820823 1.01488 
34304.7  0.857136  1.01641  0.856641 1.01436 
38535.3  0.888469  1.01443  0.888089 1.01242 
43287.6  0.915063  1.01262  0.914759 1.01063 
48626  0.937007  1.01111  0.936655 1.00937 
54622.8  0.954864  1.00971  0.954491 1.00784 
61359.1  0.968979  1.00841  0.968798 1.00643 
68926.1  0.979952  1.00767  0.9795 1.00808 
77426.4  0.988321  1.00668  0.987965 1.0069 
86974.9  0.994576  1.0058  0.994246 1.00578 
97701  0.999029  1.00505  0.998965 1.00469 
109750  1.0022  1.00436  1.00202 1.00377 
123285  1.00431  1.00367  1.004 1.00295 
138489  1.00569  1.00388  1.00537 1.00482 
155568  1.00641  1.00328  1.00587 1.00379 
174753  1.00657  1.00285  1.00597 1.00294 
196304  1.0065  1.00229  1.00608 1.00214 
220513  1.00644  1.00204  1.0062 1.0014 
247708  1.00591  1.00166  1.00575 1.00083 
278256  1.00538  1.002  1.00517 1.00273 
312572  1.00479  1.00175  1.00495 1.00172 
351119  1.00416  1.00146  1.00405 1.00107 
394421  1.00399  1.00116  1.00337 0.999973 
443062  1.00329  1.00084  1.00288 1.00014 
497702  1.00279  1.00066  1.0022 0.999755 
559081  1.00204  1.00096  1.00154 1.00038 
628029  1.00154  1.00074  1.00154 1.00189 
705480  1.00119  1.00055  1.00088 1.00013 
792483  1.001  1.0002  0.999911 0.997339 
890215  1.00066  1.00009  0.999806 0.997299 
1e+06  1  1  1 1 
