
#S 1
#N 10
#L photon energy [eV]  alpha [deg]  beta [deg]  size source V [um]  size [um]  source*M  footprint on grating [m]  C  resolving power 0.1  resolving power 0.5
250.000000   87.599856   85.847456   62.671855   10.652143   10.891784   0.045646   1.729114   9399.291181   17163.923027
368.421053   88.023911   86.580139   55.216354   9.007105   9.591526   0.045865   1.729937   8758.986665   16721.701815
486.842105   88.281430   87.025366   50.965779   8.730176   8.851006   0.046074   1.730359   8219.344035   15009.236933
605.263158   88.458946   87.332385   48.195279   7.903275   8.368622   0.046279   1.730616   7789.494365   14870.852878
723.684211   88.590817   87.560510   46.238182   7.586437   8.027989   0.046481   1.730789   7422.093577   14169.451374
842.105263   88.693756   87.738614   44.778715   7.349875   7.774035   0.046682   1.730913   7102.708426   13559.716086
960.526316   88.776999   87.882655   43.646894   7.166196   7.577129   0.046881   1.731007   6821.774435   13023.387559
1078.947368   88.846119   88.002270   42.742701   7.019329   7.419847   0.047079   1.731080   6572.085116   12546.707949
1197.368421   88.904705   88.103662   42.003293   6.899160   7.291244   0.047276   1.731139   6348.192588   12119.276759
1315.789474   88.955188   88.191034   41.387122   6.798977   7.184085   0.047472   1.731187   6145.932697   11733.144239
1434.210526   88.999277   88.267345   40.865588   6.714157   7.093391   0.047667   1.731227   5962.028227   11382.053888
1552.631579   89.038218   88.334748   40.418343   6.641406   7.015621   0.047862   1.731261   5793.855050   11060.996004
1671.052632   89.072940   88.394850   40.030503   6.578312   6.948184   0.048056   1.731290   5639.297301   10765.931212
1789.473684   89.104154   88.448882   39.690923   6.523068   6.889142   0.048249   1.731316   5496.608020   10493.524402
1907.894737   89.132414   88.497801   39.391094   6.474293   6.837013   0.048441   1.731338   5364.347967   10241.027937
2026.315789   89.158158   88.542366   39.124399   6.430911   6.790646   0.048633   1.731357   5241.308996   10006.135356
2144.736842   89.181738   88.583186   38.885618   6.392076   6.749134   0.048824   1.731375   5126.470614   9786.898445
2263.157895   89.203442   88.620758   38.670574   6.357108   6.711750   0.049014   1.731391   5018.964061   9581.658662
2381.578947   89.223505   88.655491   38.475888   6.325456   6.677906   0.049203   1.731405   4918.044379   9388.993815
2500.000000   89.242125   88.687726   38.298792   6.296672   6.647120   0.049392   1.731417   4823.068540   9207.676304
